query_id,corpus_id
q61676968,d616769d6
q61676968,d61cef506
q61676968,d61def294
q61676968,d61d31046
q61676968,d61d71c54
q61676968,d61d688c0
q61676968,d61dab45e
q61676968,d61d89a98
q61676968,d61d0c6ec
q61676968,d61da01b2
q6165d620,d61d30128
q6165d620,d61674780
q6165d620,d61d2ce1a
q6165d620,d61e487cc
q6165d620,d61d404ec
q6165d620,d61d463b0
q6165d620,d61675c84
q6165d620,d616535da
q6165d620,d61d34f34
q6165d620,d61d78c2a
q616523c4,d61d66912
q616523c4,d61663a84
q616523c4,d61d97760
q616523c4,d61d60a30
q616523c4,d6167c0d4
q616523c4,d61d9acf8
q616523c4,d61660f64
q616523c4,d61d305d8
q616523c4,d61d404ec
q616523c4,d61d3782e
q6168676e,d61d5f7ac
q6168676e,d61d99cae
q6168676e,d61ddaf38
q6168676e,d61e532a8
q6168676e,d61d97094
q6168676e,d61d2d1f8
q6168676e,d61dbe464
q6168676e,d61d30b46
q6168676e,d61dd1ae6
q6168676e,d61d6e5ae
q616abdde,d61d40b5e
q616abdde,d616509c0
q616abdde,d61d439ee
q616abdde,d61d80e70
q616abdde,d61d8df26
q616abdde,d61d48d04
q616abdde,d61d3d1ac
q616abdde,d61d8642e
q616abdde,d61651a6e
q616abdde,d61dd97e6
q616a3986,d61650ce0
q616a3986,d6165e9e4
q616a3986,d61d4d7d2
q616a3986,d61d45942
q616a3986,d61d134ba
q616a3986,d61e1ee40
q616a3986,d61d30ede
q616a3986,d6165853a
q616a3986,d61cf3f02
q616a3986,d61d76f4c
q61667c92,d61d48bf6
q61667c92,d61654b38
q61667c92,d61d55770
q61667c92,d61d3745a
q61667c92,d61e14f58
q61667c92,d61d07a8e
q61667c92,d6166ba4a
q61667c92,d61d05f9a
q61667c92,d61dc4b66
q61667c92,d61cfe6d2
q61671ce2,d61d84782
q61671ce2,d61d89ee4
q61671ce2,d6167c0d4
q61671ce2,d61e9c570
q61671ce2,d61e57416
q61671ce2,d61d97760
q61671ce2,d616535da
q61671ce2,d61d66912
q61671ce2,d61d795ee
q61671ce2,d61d2d888
q616a1438,d6167f63a
q616a1438,d61d2b844
q616a1438,d61dfa572
q616a1438,d61d8405c
q616a1438,d61deeca4
q616a1438,d61ddcb30
q616a1438,d61d079d0
q616a1438,d61d9a1a4
q616a1438,d61dcc1cc
q616a1438,d61d30128
q6165fe2a,d61df60bc
q6165fe2a,d61d4627a
q6165fe2a,d61d04e56
q6165fe2a,d61d85088
q6165fe2a,d61cf7436
q6165fe2a,d61d516fc
q6165fe2a,d61657130
q6165fe2a,d61d093ac
q6165fe2a,d61dab1f2
q6165fe2a,d61d29cb0
q6167d60a,d6167c0d4
q6167d60a,d61d4def8
q6167d60a,d61d795ee
q6167d60a,d61e9c570
q6167d60a,d61657626
q6167d60a,d61d08b64
q6167d60a,d61e171fe
q6167d60a,d6165fb0a
q6167d60a,d61d5c85e
q6167d60a,d61da9546
q61687ba0,d61d55f7c
q61687ba0,d61d9ab4a
q61687ba0,d61d70598
q61687ba0,d616535da
q61687ba0,d6165aa4c
q61687ba0,d61d50b62
q61687ba0,d616596b0
q61687ba0,d61d39002
q61687ba0,d61d53ec0
q61687ba0,d61d97760
q6167e154,d6167c0d4
q6167e154,d61e487cc
q6167e154,d61d404ec
q6167e154,d61d66912
q6167e154,d61663a84
q6167e154,d61e1313a
q6167e154,d61d216c8
q6167e154,d61d97760
q6167e154,d61660f64
q6167e154,d61e9c570
q61671e90,d61d30484
q61671e90,d61dbca42
q61671e90,d61671eea
q61671e90,d61d92274
q61671e90,d61d94eca
q61671e90,d61dcb9f2
q61671e90,d6166c544
q61671e90,d61dfbfb2
q61671e90,d61dd8814
q61671e90,d61d53ff6
q61689f9a,d61d795ee
q61689f9a,d61d66912
q61689f9a,d61663a84
q61689f9a,d61e487cc
q61689f9a,d6167c0d4
q61689f9a,d61d6da14
q61689f9a,d61d07a8e
q61689f9a,d61dbf6de
q61689f9a,d61d305d8
q61689f9a,d61d404ec
q6165cc3e,d61d64676
q6165cc3e,d6165cc84
q6165cc3e,d61d84782
q6165cc3e,d61e1e9a4
q6165cc3e,d61d44e02
q6165cc3e,d61d46a22
q6165cc3e,d61659c0a
q6165cc3e,d61dde570
q6165cc3e,d61d52926
q6165cc3e,d61dc122c
q61650c9a,d61d404ec
q61650c9a,d61e9c570
q61650c9a,d61de83e0
q61650c9a,d61d463b0
q61650c9a,d61d34f34
q61650c9a,d61d66912
q61650c9a,d61663a84
q61650c9a,d61e1313a
q61650c9a,d61d216c8
q61650c9a,d61d3782e
q616652b2,d61d741a2
q616652b2,d61cf010e
q616652b2,d61d4e56a
q616652b2,d61651dca
q616652b2,d61cfdf8e
q616652b2,d61d59e6a
q616652b2,d61d2b63c
q616652b2,d61d7c244
q616652b2,d61d57764
q616652b2,d61d5393e
q6165bd20,d6165bd5c
q6165bd20,d61cf274c
q6165bd20,d6167331c
q6165bd20,d61cf2b20
q6165bd20,d61d73a36
q6165bd20,d61d44754
q6165bd20,d61d65526
q6165bd20,d61d1b868
q6165bd20,d61de4ccc
q6165bd20,d61d3f7a4
q616835be,d61674780
q616835be,d61d2ce1a
q616835be,d61660f64
q616835be,d61d66912
q616835be,d6167c0d4
q616835be,d61663a84
q616835be,d61d795ee
q616835be,d61d3791e
q616835be,d61d97760
q616835be,d61e1313a
q6167ef50,d61cf6a22
q6167ef50,d61d6da14
q6167ef50,d61d0124c
q6167ef50,d61ea5706
q6167ef50,d61db1dc2
q6167ef50,d61cfebe6
q6167ef50,d61d5c85e
q6167ef50,d6165fb0a
q6167ef50,d61d34f34
q6167ef50,d61d52232
q616ac1da,d61e9c570
q616ac1da,d61d97760
q616ac1da,d61dd75c2
q616ac1da,d61d55f7c
q616ac1da,d61dfc188
q616ac1da,d61dcd37e
q616ac1da,d61e487cc
q616ac1da,d61d90762
q616ac1da,d61e57416
q616ac1da,d61d50b62
q616972da,d61660f64
q616972da,d6167c0d4
q616972da,d61cf2e2c
q616972da,d61d3791e
q616972da,d61ddcb30
q616972da,d61e9c570
q616972da,d61d2d888
q616972da,d61d3f8bc
q616972da,d61d97760
q616972da,d61d795ee
q6168d668,d6167c0d4
q6168d668,d61e487cc
q6168d668,d61e171fe
q6168d668,d61cf2e2c
q6168d668,d61ddcb30
q6168d668,d61657626
q6168d668,d61d404ec
q6168d668,d61e57416
q6168d668,d61d08b64
q6168d668,d61cf198c
q6167acb6,d61de83e0
q6167acb6,d61d66912
q6167acb6,d61e487cc
q6167acb6,d6167c0d4
q6167acb6,d61663a84
q6167acb6,d61d53ec0
q6167acb6,d61d305d8
q6167acb6,d61d404ec
q6167acb6,d61dd0fc4
q6167acb6,d61693946
q616559de,d61d3d706
q616559de,d61655a2e
q616559de,d61d30df8
q616559de,d61dcbef2
q616559de,d61d35e70
q616559de,d61d7c7b2
q616559de,d61d8fc90
q616559de,d61d9f06e
q616559de,d61d5559a
q616559de,d616535da
q6169d3a6,d61d30128
q6169d3a6,d61660f64
q6169d3a6,d61d3791e
q6169d3a6,d6167c0d4
q6169d3a6,d61d795ee
q6169d3a6,d61d59d52
q6169d3a6,d61d07a8e
q6169d3a6,d61d97760
q6169d3a6,d61d1bb2e
q6169d3a6,d61db0b2a
q616707e8,d61d48bf6
q616707e8,d61dbd514
q616707e8,d6167bf94
q616707e8,d6166ba4a
q616707e8,d61dc75d2
q616707e8,d61e14f58
q616707e8,d61d55770
q616707e8,d61dc4b66
q616707e8,d61da9546
q616707e8,d61da9ece
q61650092,d6167c0d4
q61650092,d61d34f34
q61650092,d61e171fe
q61650092,d61657626
q61650092,d61e0288a
q61650092,d61e487cc
q61650092,d61cf198c
q61650092,d61cf2e2c
q61650092,d61d59d52
q61650092,d61ddcb30
q6165e12e,d61650ee8
q6165e12e,d616595a2
q6165e12e,d61cef060
q6165e12e,d61d388dc
q6165e12e,d61cfba54
q6165e12e,d61d9b1c6
q6165e12e,d61d96d38
q6165e12e,d61651bfe
q6165e12e,d61d38e18
